pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
0,256,256,122
1,256,256,114
2,256,256,117
3,256,256,112
4,256,256,102
5,256,256,120
6,256,256,97
7,256,256,103
8,256,256,105
9,256,256,105
10,256,256,99
11,256,256,128
12,256,256,122
13,256,256,116
14,256,256,112
15,256,256,121
16,256,256,123
17,256,256,110
18,256,256,130
19,256,256,107
20,256,256,124
21,256,256,117
22,256,256,127
23,256,256,131
24,256,256,106
25,256,256,110
26,256,256,113
27,256,256,121
28,256,256,119
29,256,256,107
30,256,256,114
31,256,256,112
32,256,256,113
33,256,256,118
34,256,256,108
35,256,256,118
36,256,256,128
37,256,256,112
38,256,256,113
39,256,256,100
40,256,256,114
41,256,256,107
42,256,256,116
43,256,256,114
44,256,256,119
45,256,256,113
46,256,256,105
47,256,256,133
48,256,256,112
49,256,256,107
50,256,256,104
51,256,256,105
52,256,256,131
53,256,256,117
54,256,256,113
55,256,256,108
56,256,256,97
57,256,256,102
58,256,256,122
59,256,256,102
60,256,256,128
61,256,256,120
62,256,256,120
63,256,256,109
64,256,256,131
65,256,256,105
66,256,256,128
67,256,256,113
68,256,256,128
69,256,256,103
70,256,256,112
71,256,256,124
72,256,256,117
73,256,256,109
74,256,256,138
75,256,256,98
76,256,256,124
77,256,256,104
78,256,256,111
79,256,256,123
80,256,256,133
81,256,256,136
82,256,256,114
83,256,256,127
84,256,256,98
85,256,256,112
86,256,256,121
87,256,256,107
88,256,256,119
89,256,256,107
90,256,256,129
91,256,256,95
92,256,256,115
93,256,256,117
94,256,256,103
95,256,256,106
96,256,256,128
97,256,256,111
98,256,256,99
99,256,256,116
100,256,256,107
101,256,256,114
102,256,256,102
103,256,256,119
104,256,256,122
105,256,256,112
106,256,256,105
107,256,256,103
108,256,256,117
109,256,256,121
110,256,256,130
111,256,256,115
112,256,256,116
113,256,256,112
114,256,256,112
115,256,256,120
116,256,256,116
117,256,256,111
118,256,256,122
119,256,256,119
120,256,256,137
121,256,256,115
122,256,256,111
123,256,256,110
124,256,256,118
125,256,256,111
126,256,256,120
127,256,256,108
128,256,256,115
129,256,256,110
130,256,256,103
131,256,256,124
132,256,256,108
133,256,256,111
134,256,256,124
135,256,256,111
136,256,256,110
137,256,256,133
138,256,256,118
139,256,256,112
140,256,256,128
141,256,256,119
142,256,256,121
143,256,256,121
144,256,256,123
145,256,256,107
146,256,256,128
147,256,256,119
148,256,256,120
149,256,256,117
150,256,256,120
151,256,256,122
152,256,256,119
153,256,256,110
154,256,256,119
155,256,256,121
156,256,256,113
157,256,256,106
158,256,256,106
159,256,256,102
160,256,256,115
161,256,256,111
162,256,256,113
163,256,256,112
164,256,256,108
165,256,256,101
166,256,256,104
167,256,256,117
168,256,256,109
169,256,256,107
170,256,256,111
171,256,256,104
172,256,256,127
173,256,256,125
174,256,256,118
175,256,256,116
176,256,256,121
177,256,256,115
178,256,256,122
179,256,256,127
180,256,256,120
181,256,256,125
182,256,256,95
183,256,256,105
184,256,256,124
185,256,256,104
186,256,256,101
187,256,256,129
188,256,256,116
189,256,256,103
190,256,256,129
191,256,256,113
192,256,256,113
193,256,256,117
194,256,256,113
195,256,256,109
196,256,256,120
197,256,256,115
198,256,256,108
199,256,256,106
200,256,256,114
201,256,256,103
202,256,256,103
203,256,256,108
204,256,256,101
205,256,256,108
206,256,256,126
207,256,256,121
208,256,256,120
209,256,256,116
210,256,256,106
211,256,256,114
212,256,256,126
213,256,256,139
214,256,256,108
215,256,256,120
216,256,256,103
217,256,256,121
218,256,256,117
219,256,256,119
220,256,256,131
221,256,256,112
222,256,256,111
223,256,256,124
224,256,256,100
225,256,256,105
226,256,256,120
227,256,256,116
228,256,256,127
229,256,256,116
230,256,256,112
231,256,256,117
232,256,256,119
233,256,256,123
234,256,256,125
235,256,256,120
236,256,256,115
237,256,256,116
238,256,256,124
239,256,256,109
240,256,256,125
241,256,256,117
242,256,256,110
243,256,256,118
244,256,256,105
245,256,256,102
246,256,256,110
247,256,256,108
248,256,256,120
249,256,256,119
250,256,256,130
251,256,256,110
252,256,256,112
253,256,256,118
254,256,256,104
255,256,256,105
256,256,256,123
257,256,256,107
258,256,256,114
259,256,256,111
260,256,256,129
261,256,256,105
262,256,256,110
263,256,256,132
264,256,256,108
265,256,256,113
266,256,256,120
267,256,256,121
268,256,256,129
269,256,256,109
270,256,256,120
271,256,256,121
272,256,256,119
273,256,256,133
274,256,256,104
275,256,256,134
276,256,256,115
277,256,256,107
278,256,256,100
279,256,256,112
280,256,256,110
281,256,256,124
282,256,256,109
283,256,256,118
284,256,256,114
285,256,256,120
286,256,256,132
287,256,256,122
288,256,256,113
289,256,256,106
290,256,256,126
291,256,256,108
292,256,256,114
293,256,256,110
294,256,256,120
295,256,256,116
296,256,256,103
297,256,256,133
298,256,256,112
299,256,256,113
300,256,256,128
301,256,256,115
302,256,256,113
303,256,256,107
304,256,256,116
305,256,256,146
306,256,256,125
307,256,256,126
308,256,256,117
309,256,256,117
310,256,256,123
311,256,256,119
312,256,256,117
313,256,256,128
314,256,256,128
315,256,256,120
316,256,256,114
317,256,256,108
318,256,256,123
319,256,256,116
320,256,256,105
321,256,256,112
322,256,256,113
323,256,256,114
324,256,256,107
325,256,256,114
326,256,256,120
327,256,256,116
328,256,256,123
329,256,256,124
330,256,256,112
331,256,256,114
332,256,256,121
333,256,256,118
334,256,256,115
335,256,256,123
336,256,256,102
337,256,256,108
338,256,256,112
339,256,256,105
340,256,256,126
341,256,256,121
342,256,256,111
343,256,256,124
344,256,256,104
345,256,256,116
346,256,256,100
347,256,256,96
348,256,256,109
349,256,256,123
350,256,256,115
351,256,256,109
352,256,256,120
353,256,256,105
354,256,256,121
355,256,256,104
356,256,256,113
357,256,256,117
358,256,256,103
359,256,256,112
360,256,256,112
361,256,256,112
362,256,256,107
363,256,256,115
364,256,256,131
365,256,256,116
366,256,256,117
367,256,256,111
368,256,256,117
369,256,256,116
370,256,256,111
371,256,256,109
372,256,256,111
373,256,256,107
374,256,256,109
375,256,256,110
376,256,256,124
377,256,256,118
378,256,256,104
379,256,256,118
380,256,256,113
381,256,256,114
382,256,256,127
383,256,256,111
384,256,256,110
385,256,256,111
386,256,256,107
387,256,256,115
388,256,256,117
389,256,256,133
390,256,256,112
391,256,256,123
392,256,256,110
393,256,256,117
394,256,256,107
395,256,256,121
396,256,256,114
397,256,256,111
398,256,256,102
399,256,256,116
400,256,256,108
401,256,256,136
402,256,256,103
403,256,256,96
404,256,256,122
405,256,256,127
406,256,256,128
407,256,256,107
408,256,256,125
409,256,256,126
410,256,256,108
411,256,256,115
412,256,256,111
413,256,256,111
414,256,256,129
415,256,256,114
416,256,256,126
417,256,256,115
418,256,256,124
419,256,256,132
420,256,256,112
421,256,256,109
422,256,256,105
423,256,256,105
424,256,256,121
425,256,256,113
426,256,256,99
427,256,256,148
428,256,256,112
429,256,256,131
430,256,256,109
431,256,256,135
432,256,256,108
433,256,256,105
434,256,256,116
435,256,256,110
436,256,256,112
437,256,256,109
438,256,256,117
439,256,256,116
440,256,256,121
441,256,256,106
442,256,256,122
443,256,256,103
444,256,256,121
445,256,256,114
446,256,256,107
447,256,256,112
448,256,256,101
449,256,256,115
450,256,256,118
451,256,256,118
452,256,256,128
453,256,256,127
454,256,256,118
455,256,256,106
456,256,256,112
457,256,256,117
458,256,256,102
459,256,256,117
460,256,256,124
461,256,256,136
462,256,256,107
463,256,256,134
464,256,256,122
465,256,256,110
466,256,256,108
467,256,256,111
468,256,256,112
469,256,256,138
470,256,256,119
471,256,256,115
472,256,256,118
473,256,256,105
474,256,256,122
475,256,256,106
476,256,256,117
477,256,256,111
478,256,256,107
479,256,256,118
480,256,256,117
481,256,256,116
482,256,256,113
483,256,256,110
484,256,256,111
485,256,256,112
486,256,256,113
487,256,256,129
488,256,256,111
489,256,256,120
490,256,256,101
491,256,256,102
492,256,256,117
493,256,256,121
494,256,256,116
495,256,256,102
496,256,256,116
497,256,256,111
498,256,256,107
499,256,256,113
500,256,256,116
501,256,256,115
502,256,256,115
503,256,256,114
504,256,256,103
505,256,256,113
506,256,256,116
507,256,256,115
508,256,256,118
509,256,256,132
510,256,256,114
511,256,256,112
512,256,256,117
513,256,256,114
514,256,256,108
515,256,256,110
516,256,256,111
517,256,256,120
518,256,256,105
519,256,256,107
520,256,256,131
521,256,256,108
