pair_id,sequence_length_a,sequence_length_b,alignment_score
0,256,256,113
1,256,256,80
2,256,256,92
3,256,256,83
4,256,256,86
5,256,256,107
6,256,256,86
7,256,256,89
8,256,256,89
9,256,256,86
10,256,256,83
11,256,256,95
12,256,256,107
13,256,256,104
14,256,256,89
15,256,256,110
16,256,256,107
17,256,256,83
18,256,256,113
19,256,256,101
20,256,256,98
21,256,256,101
22,256,256,104
23,256,256,116
24,256,256,95
25,256,256,98
26,256,256,92
27,256,256,104
28,256,256,107
29,256,256,86
30,256,256,89
31,256,256,89
32,256,256,104
33,256,256,110
34,256,256,83
35,256,256,92
36,256,256,104
37,256,256,101
38,256,256,101
39,256,256,86
40,256,256,107
41,256,256,98
42,256,256,98
43,256,256,92
44,256,256,116
45,256,256,89
46,256,256,101
47,256,256,110
48,256,256,86
49,256,256,92
50,256,256,80
51,256,256,86
52,256,256,125
53,256,256,101
54,256,256,80
55,256,256,101
56,256,256,77
57,256,256,83
58,256,256,104
59,256,256,80
60,256,256,104
61,256,256,104
62,256,256,110
63,256,256,86
64,256,256,107
65,256,256,89
66,256,256,110
67,256,256,92
68,256,256,86
69,256,256,86
70,256,256,107
71,256,256,92
72,256,256,104
73,256,256,83
74,256,256,110
75,256,256,83
76,256,256,113
77,256,256,86
78,256,256,95
79,256,256,95
80,256,256,83
81,256,256,128
82,256,256,110
83,256,256,113
84,256,256,77
85,256,256,92
86,256,256,110
87,256,256,89
88,256,256,92
89,256,256,89
90,256,256,116
91,256,256,74
92,256,256,92
93,256,256,95
94,256,256,89
95,256,256,83
96,256,256,113
97,256,256,98
98,256,256,83
99,256,256,74
